port,varies,10gbaser_refclk0_156M25_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaprx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptrx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptx,jesd204b_refclk0_100M_qpll0_lane0123,usb3_mclk_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk0_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk1_125M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_cpll_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane1,usb3_refclk0_100M_qpll0_lane3,usb3_refclk0_50M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane1,usb3_refclk1_100M_qpll0_lane2,usb3_refclk1_100M_qpll0_lane3,usb3_refclk1_100M_qpll1_lane3,usb3_refin_100M_qpll0_lane0
LANE3_RX_IF_FIFO_AEMPTY,no,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty,q0_lane3_rx_if_fifo_aempty
LANE3_RX_IF_FIFO_EMPTY,no,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty,q0_lane3_rx_if_fifo_empty
LANE3_RX_IF_FIFO_RDEN,yes,0,0,0,0,0,q0_lane3_rx_if_fifo_rden,0,0,0,0,0,0,0,q0_lane3_rx_if_fifo_rden,0,0,0,0,q0_lane3_rx_if_fifo_rden,q0_lane3_rx_if_fifo_rden,0
LANE3_RX_IF_FIFO_RDUSEWD,no,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd,q0_lane3_rx_if_fifo_rdusewd
LANE3_TX_IF_FIFO_AFULL,no,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull,q0_lane3_tx_if_fifo_afull
LANE3_TX_IF_FIFO_FULL,no,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full,q0_lane3_tx_if_fifo_full
LANE3_TX_IF_FIFO_WRUSEWD,no,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd,q0_lane3_tx_if_fifo_wrusewd
LN0_RXM_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LN0_RXP_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LN0_TXM_O,no,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o,q0_ln0_txm_o
LN0_TXP_O,no,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o,q0_ln0_txp_o
LN1_RXM_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LN1_RXP_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LN1_TXM_O,no,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o,q0_ln1_txm_o
LN1_TXP_O,no,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o,q0_ln1_txp_o
LN2_RXM_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LN2_RXP_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LN2_TXM_O,no,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o,q0_ln2_txm_o
LN2_TXP_O,no,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o,q0_ln2_txp_o
LN3_RXM_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LN3_RXP_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LN3_TXM_O,no,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o,q0_ln3_txm_o
LN3_TXP_O,no,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o,q0_ln3_txp_o
PCIE_DIV2_REG,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCIE_DIV4_REG,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PMAC_LN_RSTN,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUAD_PCIE_CLK,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUAD_PCLK0,no,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0,q0_quad_pclk0
QUAD_PCLK1,no,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1,q0_quad_pclk1
REFCLKM0_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REFCLKM1_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REFCLKP0_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REFCLKP1_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEST_DEC_EN,yes,0,0,0,0,0,0,quad_cfg_test_dec_en,quad_cfg_test_dec_en,quad_cfg_test_dec_en,quad_cfg_test_dec_en,quad_cfg_test_dec_en,quad_cfg_test_dec_en,quad_cfg_test_dec_en,quad_cfg_test_dec_en,quad_cfg_test_dec_en,quad_cfg_test_dec_en,quad_cfg_test_dec_en,quad_cfg_test_dec_en,quad_cfg_test_dec_en,quad_cfg_test_dec_en,quad_cfg_test_dec_en
