port,varies,10gbaser_refclk0_156M25_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaprx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptrx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptx,jesd204b_refclk0_100M_qpll0_lane0123,usb3_mclk_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk0_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk1_125M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_cpll_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane1,usb3_refclk0_100M_qpll0_lane3,usb3_refclk0_50M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane1,usb3_refclk1_100M_qpll0_lane2,usb3_refclk1_100M_qpll0_lane3,usb3_refclk1_100M_qpll1_lane3,usb3_refin_100M_qpll0_lane0
LANE2_CHBOND_START,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANE2_CUR_DISP_O,no,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o,q0_lane2_cur_disp_o
LANE2_DEC_ERR_O,no,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o,q0_lane2_dec_err_o
LANE2_DISP_ERR_O,no,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o,q0_lane2_disp_err_o
LANE2_FABRIC_C2I_CLK,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANE2_FABRIC_RX_CLK,yes,0,0,0,0,0,q0_lane3_fabric_rx_clk,0,0,0,0,0,0,0,0,0,0,0,q0_lane2_fabric_rx_clk,0,0,0
LANE2_FABRIC_TX_CLK,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,q0_lane2_fabric_tx_clk,0,0,0
LANE2_K_LOCK,no,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock,q0_lane2_k_lock
LANE2_PCS_RX_O_FABRIC_CLK,no,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk,q0_lane2_pcs_rx_o_fabric_clk
LANE2_PCS_RX_RST,yes,0,0,0,0,0,q0_lane3_pcs_rx_rst,0,0,0,0,0,0,0,0,0,0,0,q0_lane2_pcs_rx_rst,0,0,0
LANE2_PCS_TX_O_FABRIC_CLK,no,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk,q0_lane2_pcs_tx_o_fabric_clk
LANE2_PCS_TX_RST,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,q0_lane2_pcs_tx_rst,0,0,0
LANE2_RX_IF_FIFO_AEMPTY,no,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty,q0_lane2_rx_if_fifo_aempty
LANE2_RX_IF_FIFO_EMPTY,no,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty,q0_lane2_rx_if_fifo_empty
LANE2_RX_IF_FIFO_RDEN,yes,0,0,0,0,0,q0_lane2_rx_if_fifo_rden,0,0,0,0,0,0,0,0,0,0,0,q0_lane2_rx_if_fifo_rden,0,0,0
LANE2_RX_IF_FIFO_RDUSEWD,no,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd,q0_lane2_rx_if_fifo_rdusewd
LANE2_TX_IF_FIFO_AFULL,no,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull,q0_lane2_tx_if_fifo_afull
LANE2_TX_IF_FIFO_FULL,no,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full,q0_lane2_tx_if_fifo_full
LANE2_TX_IF_FIFO_WRUSEWD,no,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd,q0_lane2_tx_if_fifo_wrusewd
