address,varies,10gbaser_refclk0_156M25_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaprx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptrx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptx,jesd204b_refclk0_100M_qpll0_lane0123,usb3_mclk_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk0_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk1_125M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_cpll_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane1,usb3_refclk0_100M_qpll0_lane3,usb3_refclk0_50M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane1,usb3_refclk1_100M_qpll0_lane2,usb3_refclk1_100M_qpll0_lane3,usb3_refclk1_100M_qpll1_lane3,usb3_refin_100M_qpll0_lane0
0x0080886c,no,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001
0x00808870,yes,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x20000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x10000000
0x00808884,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x00808888,no,0x00000100,0x00000100,0x00000100,0x00000100,0x00000100,0x00000100,0x00000100,0x00000100,0x00000100,0x00000100,0x00000100,0x00000100,,,0x00000100,0x00000100,,,,,0x00000100
0x0080888c,no,,,,,,0x00000100,,,0x00000100,0x00000100,0x00000100,0x00000100,0x00000100,,,,0x00000100,,,,
0x00808890,no,,,,,,0x00000100,,,,,,,,,,,,0x00000100,,,
0x00808894,no,,,,,,0x00000100,,,,,,,,0x00000100,,,,,0x00000100,0x00000100,
0x008088dc,no,,,,,,0x00000031,,,,,,,,0x00000031,,,,,0x00000031,0x00000031,
0x00808900,no,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001,0x00000001
0x00808904,no,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff,0x000050ff
0x00808908,no,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00
0x0080890c,no,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080
0x00808910,no,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800,0x00005800
0x00808914,no,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001,0x00006001
0x00808918,yes,0x00004000,0x00004000,0x00004000,0x00004000,0x00004000,0x00004000,0x0000470f,0x00004000,0x00004000,0x00004000,0x00004000,0x00004000,0x00004000,0x00004000,0x00004000,0x00004000,0x00004000,0x00004000,0x00004000,0x00004000,0x0000470f
0x0080891c,yes,0x00006300,0x00006300,0x00006300,0x00006300,0x00006300,0x00006300,0x00006200,0x00006300,0x00006300,0x00006300,0x00006300,0x00006300,0x00006300,0x00006300,0x00006300,0x00006300,0x00006300,0x00006300,0x00006300,0x00006300,0x00006200
0x00808920,no,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff,0x000051ff
0x00808924,no,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff,0x000052ff
0x00808928,no,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00,0x00005f00
0x0080892c,no,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080,0x00006080
0x00808930,yes,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000041a2,0x000042a2,0x000041a2
0x00808934,yes,0x0000a000,0x0000a000,0x0000a000,0x0000a000,0x0000a000,0x0000a000,0x0000a000,0x0000a000,0x000042a2,0x000042a2,0x000044a2,0x000042a2,0x0000a000,0x0000a000,0x0000a000,0x0000a000,0x0000a000,0x0000a000,0x0000a000,0x0000a000,0x0000a000
0x00808938,no,,,,,,,,,0x0000a000,0x0000a000,0x0000a000,0x0000a000,,,,,,,,,
0x00808984,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x00809000,yes,0x00000f11,0x00000011,0x00000011,0x00000011,0x00000011,0x00000511,0x00000511,0x00000511,0x00000511,0x00000511,0x00000511,0x00000511,0x00000011,0x00000011,0x00000511,0x00000511,0x00000011,0x00000011,0x00000011,0x00000011,0x00000511
0x00809008,yes,0x00000008,0x00000008,0x00000088,0x00000088,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,,,0x00000008,0x00000008,,,,,0x00000008
0x00809010,no,0x0000017c,0x0000017c,0x0000017c,0x0000017c,0x0000017c,0x0000017c,0x0000017c,0x0000017c,0x0000017c,0x0000017c,0x0000017c,0x0000017c,,,0x0000017c,0x0000017c,,,,,0x0000017c
0x00809014,no,0x000003ff,0x000003ff,0x000003ff,0x000003ff,0x000003ff,0x000003ff,0x000003ff,0x000003ff,0x000003ff,0x000003ff,0x000003ff,0x000003ff,,,0x000003ff,0x000003ff,,,,,0x000003ff
0x00809020,no,0x0008007c,0x0008007c,0x0008007c,0x0008007c,0x0008007c,0x0008007c,0x0008007c,0x0008007c,0x0008007c,0x0008007c,0x0008007c,0x0008007c,,,0x0008007c,0x0008007c,,,,,0x0008007c
0x0080902c,yes,0x0008001c,0x0010007c,0x0010007c,0x0010007c,0x0010007c,0x0008001c,0x0008001c,0x0008001c,0x0008001c,0x0008001c,0x0008001c,0x0008001c,,,0x0008001c,0x0008001c,,,,,0x0008001c
0x0080903c,yes,0x00000008,0x00000008,0x00000008,0x00000408,0x00000408,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,,,0x00000008,0x00000008,,,,,0x00000008
0x00809068,yes,0x000001ff,0x000001ff,0x000001fe,0x000001be,0x000001bf,0x00000173,0x000001ff,0x000001ff,0x000001ff,0x000001ff,0x000001ff,0x000001ff,,,0x000001ff,0x000001ff,,,,,0x000001ff
0x0080906c,yes,0x00010110,0x00010110,0x00010110,0x00010110,0x00010110,0x00010110,0x00010110,0x00010110,0x00010110,0x00010110,0x00010110,0x00010110,0x00000110,0x00000110,0x00010110,0x00010110,0x00000110,0x00000110,0x00000110,0x00000110,0x00010110
0x00809070,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x00809074,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x00809078,yes,0x0000001c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000001c,0x0000001c,0x0000001c,0x0000001c,0x0000001c,0x0000001c,0x0000001c,,,0x0000001c,0x0000001c,,,,,0x0000001c
0x0080907c,no,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,,,0x0000007c,0x0000007c,,,,,0x0000007c
0x00809080,no,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,,,0x0000007c,0x0000007c,,,,,0x0000007c
0x00809084,no,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,,,0x0000007c,0x0000007c,,,,,0x0000007c
0x00809088,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,0x00000000,0x00000000,,,,,0x00000000
0x0080908c,no,0x00000103,,,,,,,,,,,,,,,,,,,,
0x00809090,no,0x040c0183,,,,,,,,,,,,,,,,,,,,
0x00809094,no,0xffffffff,,,,,,,,,,,,,,,,,,,,
0x00809098,no,0x03ffffff,,,,,,,,,,,,,,,,,,,,
0x0080909c,no,0x00000000,,,,,,,,,,,,,,,,,,,,
0x008090a0,no,0x00000000,,,,,,,,,,,,,,,,,,,,
0x00809200,yes,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000511,0x00000011,0x00000011,0x00000011,0x00000011,0x00000511,0x00000511,0x00000511,0x00000011,0x00000011,0x00000011,0x00000511,0x00000011,0x00000011,0x00000011,0x00000011
0x00809208,no,,,,,,0x00000008,,,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,,,,0x00000008,,,,
0x00809210,no,,,,,,0x0000017c,,,0x0000017c,0x0000017c,0x0000017c,0x0000017c,0x0000017c,,,,0x0000017c,,,,
0x00809214,no,,,,,,0x000003ff,,,0x000003ff,0x000003ff,0x000003ff,0x000003ff,0x000003ff,,,,0x000003ff,,,,
0x00809220,no,,,,,,0x0008017c,,,0x0008017c,0x0008017c,0x0008017c,0x0008017c,0x0008017c,,,,0x0008017c,,,,
0x0080922c,no,,,,,,0x0008011c,,,0x0008011c,0x0008011c,0x0008011c,0x0008011c,0x0008011c,,,,0x0008011c,,,,
0x0080923c,no,,,,,,0x00000008,,,0x00000008,0x00000008,0x00000008,0x00000008,0x00000008,,,,0x00000008,,,,
0x00809268,yes,,,,,,0x00000173,,,0x00000173,0x00000173,0x000001ff,0x000001ff,0x000001ff,,,,0x000001ff,,,,
0x0080926c,yes,0x00000110,0x00000110,0x00000110,0x00000110,0x00000110,0x00010110,0x00000110,0x00000110,0x00013110,0x00013110,0x00020110,0x00013110,0x00010110,0x00000110,0x00000110,0x00000110,0x00010110,0x00000110,0x00000110,0x00000110,0x00000110
0x00809270,no,,,,,,0x00000000,,,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,0x00000000,,,,
0x00809274,no,,,,,,0x00000000,,,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,0x00000000,,,,
0x00809278,no,,,,,,0x0000001c,,,0x0000001c,0x0000001c,0x0000001c,0x0000001c,0x0000001c,,,,0x0000001c,,,,
0x0080927c,no,,,,,,0x0000007c,,,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,,,,0x0000007c,,,,
0x00809280,no,,,,,,0x0000007c,,,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,,,,0x0000007c,,,,
0x00809284,no,,,,,,0x0000007c,,,0x0000007c,0x0000007c,0x0000007c,0x0000007c,0x0000007c,,,,0x0000007c,,,,
0x00809288,no,,,,,,0x00000000,,,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,,,,0x00000000,,,,
0x00809400,yes,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000511,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000511,0x00000011,0x00000011,0x00000011
0x00809408,no,,,,,,0x00000008,,,,,,,,,,,,0x00000008,,,
0x00809410,no,,,,,,0x0000017c,,,,,,,,,,,,0x0000017c,,,
0x00809414,no,,,,,,0x000003ff,,,,,,,,,,,,0x000003ff,,,
0x00809420,no,,,,,,0x0008027c,,,,,,,,,,,,0x0008027c,,,
0x0080942c,no,,,,,,0x0008021c,,,,,,,,,,,,0x0008021c,,,
0x0080943c,no,,,,,,0x00000008,,,,,,,,,,,,0x00000008,,,
0x00809468,yes,,,,,,0x00000173,,,,,,,,,,,,0x000001ff,,,
0x0080946c,yes,0x00000110,0x00000110,0x00000110,0x00000110,0x00000110,0x00010110,0x00000110,0x00000110,0x00000110,0x00000110,0x00000110,0x00000110,0x00000110,0x00000110,0x00000110,0x00000110,0x00000110,0x00010110,0x00000110,0x00000110,0x00000110
0x00809470,no,,,,,,0x00000000,,,,,,,,,,,,0x00000000,,,
0x00809474,no,,,,,,0x00000000,,,,,,,,,,,,0x00000000,,,
0x00809478,no,,,,,,0x0000001c,,,,,,,,,,,,0x0000001c,,,
0x0080947c,no,,,,,,0x0000007c,,,,,,,,,,,,0x0000007c,,,
0x00809480,no,,,,,,0x0000007c,,,,,,,,,,,,0x0000007c,,,
0x00809484,no,,,,,,0x0000007c,,,,,,,,,,,,0x0000007c,,,
0x00809488,no,,,,,,0x00000000,,,,,,,,,,,,0x00000000,,,
0x00809600,yes,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000511,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000011,0x00000511,0x00000011,0x00000011,0x00000011,0x00000011,0x00000511,0x00000511,0x00000011
0x00809608,no,,,,,,0x00000008,,,,,,,,0x00000008,,,,,0x00000008,0x00000008,
0x00809610,no,,,,,,0x0000017c,,,,,,,,0x0000017c,,,,,0x0000017c,0x0000017c,
0x00809614,no,,,,,,0x000003ff,,,,,,,,0x000003ff,,,,,0x000003ff,0x000003ff,
0x00809620,no,,,,,,0x0008037c,,,,,,,,0x0008037c,,,,,0x0008037c,0x0008037c,
0x0080962c,no,,,,,,0x0008031c,,,,,,,,0x0008031c,,,,,0x0008031c,0x0008031c,
0x0080963c,no,,,,,,0x00000008,,,,,,,,0x00000008,,,,,0x00000008,0x00000008,
0x00809668,yes,,,,,,0x00000173,,,,,,,,0x000001ff,,,,,0x000001ff,0x000001ff,
0x0080966c,yes,0x00000110,0x00000110,0x00000110,0x00000110,0x00000110,0x00010110,0x00000110,0x00000110,0x00000110,0x00000110,0x00000110,0x00000110,0x00000110,0x00010110,0x00000110,0x00000110,0x00000110,0x00000110,0x00010110,0x00013110,0x00000110
0x00809670,no,,,,,,0x00000000,,,,,,,,0x00000000,,,,,0x00000000,0x00000000,
0x00809674,no,,,,,,0x00000000,,,,,,,,0x00000000,,,,,0x00000000,0x00000000,
0x00809678,no,,,,,,0x0000001c,,,,,,,,0x0000001c,,,,,0x0000001c,0x0000001c,
0x0080967c,no,,,,,,0x0000007c,,,,,,,,0x0000007c,,,,,0x0000007c,0x0000007c,
0x00809680,no,,,,,,0x0000007c,,,,,,,,0x0000007c,,,,,0x0000007c,0x0000007c,
0x00809684,no,,,,,,0x0000007c,,,,,,,,0x0000007c,,,,,0x0000007c,0x0000007c,
0x00809688,no,,,,,,0x00000000,,,,,,,,0x00000000,,,,,0x00000000,0x00000000,
0x0080a004,no,0x00022322,0x00022322,0x00022322,0x00022322,0x00022322,0x00022322,0x00022322,0x00022322,0x00022322,0x00022322,0x00022322,0x00022322,,,0x00022322,0x00022322,,,,,0x00022322
0x0080a05c,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x0080a200,no,,,,,,,,,,,0x00000001,,,,,,,,,,
0x0080a204,yes,,,,,,0x00022322,,,0x00022322,0x00022322,0x00022233,0x00022322,0x00022322,,,,0x00022322,,,,
0x0080a208,no,,,,,,,,,,,0x00000003,,,,,,,,,,
0x0080a20c,no,,,,,,,,,,,0x10320108,,,,,,,,,,
0x0080a214,no,,,,,,,,,,,0x00000f01,,,,,,,,,,
0x0080a218,no,,,,,,,,,,,0x01b50008,,,,,,,,,,
0x0080a21c,no,,,,,,,,,,,0x000041c3,,,,,,,,,,
0x0080a220,no,,,,,,,,,,,0x0000001a,,,,,,,,,,
0x0080a224,no,,,,,,,,,,,0x06674080,,,,,,,,,,
0x0080a22c,no,,,,,,,,,,,0x000900b0,,,,,,,,,,
0x0080a230,no,,,,,,,,,,,0x00000005,,,,,,,,,,
0x0080a234,no,,,,,,,,,,,0x00000404,,,,,,,,,,
0x0080a238,no,,,,,,,,,,,0x006400c8,,,,,,,,,,
0x0080a23c,no,,,,,,,,,,,0x00000003,,,,,,,,,,
0x0080a244,no,,,,,,,,,,,0x00000001,,,,,,,,,,
0x0080a250,no,,,,,,,,,,,0x00000064,,,,,,,,,,
0x0080a254,no,,,,,,,,,,,0x00000064,,,,,,,,,,
0x0080a258,no,,,,,,,,,,,0x00000064,,,,,,,,,,
0x0080a25c,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x0080a300,no,,,,,,,,,,,0x60015800,,,,,,,,,,
0x0080a304,no,,,,,,,,,,,0x0000a000,,,,,,,,,,
0x0080a404,no,,,,,,0x00022322,,,,,,,,,,,,0x00022322,,,
0x0080a45c,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x0080a604,no,,,,,,0x00022322,,,,,,,,0x00022322,,,,,0x00022322,0x00022322,
0x0080a65c,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x00b00000,no,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55,0x00ffaa55
0x00c00008,no,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003,0x00000003
