address,varies,10gbaser_refclk0_156M25_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaprx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptrx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptx,jesd204b_refclk0_100M_qpll0_lane0123,usb3_mclk_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk0_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk1_125M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_cpll_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane1,usb3_refclk0_100M_qpll0_lane3,usb3_refclk0_50M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane1,usb3_refclk1_100M_qpll0_lane2,usb3_refclk1_100M_qpll0_lane3,usb3_refclk1_100M_qpll1_lane3,usb3_refin_100M_qpll0_lane0
0x008084c0,yes,0x00000010,0x00000010,0x00000010,0x00000010,0x00000010,0x00000210,0x00000010,0x00000010,0x00000010,0x00000010,0x00000010,0x00000010,0x00000010,0x00000010,0x00000010,0x00000010,0x00000010,0x00000210,0x00000010,0x00000010,0x00000010
0x008084dc,no,,,,,,0x00000031,,,0x00000031,0x00000031,0x00000031,0x00000031,0x00000031,,,,0x00000031,,,,
0x00808500,no,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002,0x00000002
0x0080851c,no,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf,0x007f00bf
0x00808520,no,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff,0x01ff01ff
0x00808524,no,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003,0x00030003
0x00808534,no,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000,0x0000e000
0x00808538,no,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00,0x00000b00
0x0080853c,no,,,,,,0x191a1a1a,,,,,,,,0x191a1a1a,,,,,0x191a1a1a,0x191a1a1a,
0x00808540,no,,,,,,0x18181919,,,,,,,,0x18181919,,,,,0x18181919,0x18181919,
